2020-09-29 23:48:25,b'Proud of ya Stuck! #BlackHerosMatter #BLM #xr #ar #art #comics #teamsports #GoBeavs https://t.co/ivxEjhJK2L',,#blm -filter:retweets
2020-09-29 23:48:23,"b""And this is why you need to vote. Our ancestors died for our right to vote so don't let a Facebook campaign talk yo\xe2\x80\xa6 https://t.co/qGPgFARSPI""",,#blm -filter:retweets
2020-09-29 23:48:15,b'\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5https://t.co/1cLiSzPzwK WHAT ARE YOU READING? #christspenonagodpad  #books #author #poetry #poet #writing\xe2\x80\xa6 https://t.co/bLuUCCMfDt',,#blm -filter:retweets
2020-09-29 23:47:45,b'@BreitbartNews Does that go does #BLM and #Antifa riot looting criminals or do they get a mask pass?',,#blm -filter:retweets
2020-09-29 23:47:32,b'Just want to give everything I have to a black person. #blm #blackexcellence #Blackpower #WhitePrivilege',,#blm -filter:retweets
2020-09-29 23:47:27,"b'Mothers/fathers struggling coming out of relationships, young teens dealing with trouble in and out of school, raci\xe2\x80\xa6 https://t.co/Jeiw6lQq47'",,#blm -filter:retweets
2020-09-29 23:47:24,"b'@tosinolajide_ Can you also talk about the current war in Arshakh, Armenia that is caused by Azerbaijan &amp; Turkey? O\xe2\x80\xa6 https://t.co/XQ4IWenVkZ'",,#blm -filter:retweets
2020-09-29 23:47:18,b'SO SORRY THEY ABUSED YOU THAT WAY!!!! #cancelatt MUST BE RACISM WHEN A ETHIC PERSON CANT GET A WEEK EXT ON THEIR BI\xe2\x80\xa6 https://t.co/TXvczsbCz0',,#blm -filter:retweets
2020-09-29 23:46:32,b'@JoeBiden @KamalaHarris You really fought for the middle class when u shut down almost every single-owner business\xe2\x80\xa6 https://t.co/9pyBiyR4TX',,#blm -filter:retweets
2020-09-29 23:46:22,b'just that American moment when @quizlet is doing more to combat racial injustice than the president #VoteHimOut #BLM https://t.co/5lo7AP42Ui',,#blm -filter:retweets
2020-09-29 23:45:46,b'WOW MADE YOUR CUSTOMER BEG TO REJECT THEM!!! #cancelatt MUST BE RACISM WHEN A ETHIC PERSON CANT GET A WEEK EXT ON T\xe2\x80\xa6 https://t.co/N2XDTCZ8KP',,#blm -filter:retweets
2020-09-29 23:45:19,b'WHY WOULD THEY BE SO RUDE? #cancelatt MUST BE RACISM WHEN A ETHIC PERSON CANT GET A WEEK EXT ON THEIR BILL FROM\xe2\x80\xa6 https://t.co/6JRfyUZZHd',,#blm -filter:retweets
2020-09-29 23:45:07,b'@ANTHONYBLOGAN Why does #BLM let White People take the credit!!?? \xf0\x9f\x98\x86\xf0\x9f\x98\x86\xf0\x9f\x98\x86\xf0\x9f\x98\x85\xf0\x9f\x98\x85\xf0\x9f\x98\x86\xf0\x9f\x98\x86',,#blm -filter:retweets
2020-09-29 23:44:37,b'@MichaelJFell Seattle commie mayor can\xe2\x80\x99t run a City. Gave up an entire #Seattle district to\xe2\x80\xa6 https://t.co/cw1HKlWCTU',,#blm -filter:retweets
2020-09-29 23:44:00,"b'Add my new single ""No Shots"" on Spotify: https://t.co/BgE93JExd9 (powered by @distrokid) #share #like #newmusic\xe2\x80\xa6 https://t.co/45SVgmOjSk'",,#blm -filter:retweets
